GRANAROLO,RUSSI
-0.5,0.0
2.5,1.5
0.5,1.0
5.5,3.0
-0.5,31.5
1.0,-0.5
0.5,0.0
2.5,1.0
-1.0,2.5
1.5,14.5
2.5,2.5
3.5,1.5
-1.5,0.0
2.0,1.0
0.5,0.0
16.0,13.5
-0.5,1.0
0.0,0.5
0.0,0.5
0.5,-0.5
1.0,1.0
0.5,-1.5
-1.5,0.0
1.5,1.0
0.5,0.5
4.5,2.5
0.5,2.0
1.0,0.5
1.0,0.5
1.5,0.0
-1.0,0.0
2.0,0.5
0.0,5.0
7.0,8.5
1.0,3.5
0.5,-1.0
-0.5,0.5
1.0,0.0
0.5,0.5
3.0,1.0
0.0,0.5
2.0,5.0
0.0,0.5
0.5,-1.5
2.0,2.5
2.0,1.0
0.5,1.0
2.0,-0.5
0.0,1.0
1.5,1.5
0.5,1.0
0.0,-2.0
0.0,0.5
0.5,-0.5
20.0,20.5
6.0,3.0
-0.5,0.0
1.0,0.5
0.5,0.5
1.5,-1.0
-0.5,0.0
1.0,0.0
0.0,0.0
1.0,-1.0
0.0,0.5
3.0,2.0
0.5,0.0
0.0,-1.5
0.0,0.5
1.5,0.5
0.5,0.5
3.0,1.0
-1.0,0.5
5.5,4.0
1.0,27.5
4.5,2.5
-0.5,0.5
0.5,0.0
1.0,0.0
-0.5,-1.0
-1.0,1.5
0.5,0.5
0.5,0.0
-1.0,0.0
2.0,0.5
2.0,1.5
6.0,5.5
-0.5,0.0
0.0,0.5
65.5,63.0
1.0,-0.5
1.0,2.0
0.5,-1.0
-1.0,0.5
24.5,25.0
0.5,47.0
0.5,1.0
-0.5,0.0
1.0,2.5
1.0,2.0
1.0,0.5
-0.5,2.0
2.5,1.5
2.0,4.5
2.5,0.5
-1.0,-1.0
2.0,1.0
-0.5,0.0
15.0,13.0
-0.5,0.0
2.5,2.0
2.0,2.5
2.0,0.5
0.0,0.5
4.0,3.5
0.5,1.5
8.5,6.0
-1.5,0.0
0.5,0.5
0.0,0.0
2.5,0.5
-0.5,0.0
6.5,6.5
0.5,1.5
1.5,1.5
0.0,2.0
1.5,0.0
0.5,1.0
1.5,-0.5
-0.5,0.0
3.5,3.0
1.0,1.5
4.0,3.0
0.0,1.0
2.0,3.0
2.0,5.0
8.5,7.5
-0.5,1.5
1.5,1.0
1.0,1.0
5.0,3.0
-0.5,0.5
1.0,0.5
1.0,1.0
0.5,-1.5
38.5,40.0
2.5,1.0
2.5,3.0
0.5,0.0
-1.0,-0.5
2.0,1.5
0.5,0.0
-0.5,0.5
1.0,0.5
0.5,0.5
0.0,-2.0
-0.5,0.0
0.5,-0.5
0.5,0.5
13.0,12.0
0.0,0.5
3.0,1.5
0.5,0.5
3.5,1.0
-0.5,0.0
2.0,0.5
1.5,2.0
1.5,-1.0
-0.5,1.0
12.0,11.5
0.0,-2.0
-0.5,0.0
2.5,1.0
1.5,2.0
0.5,-1.0
-0.5,2.0
5.5,4.0
0.5,1.0
7.0,4.0
-1.0,0.5
4.0,3.0
1.5,2.0
8.0,6.5
0.0,0.0
1.0,5.0
1.5,1.5
1.5,0.0
-0.5,0.0
14.5,14.5
1.0,1.0
1.0,0.5
0.0,1.0
3.5,2.5
2.0,3.0
-0.5,-2.0
0.5,1.0
1.0,1.0
0.0,0.0
0.0,-1.5
0.5,1.0
2.5,1.5
1.0,1.5
0.0,-2.0
0.0,0.0
3.0,2.0
0.0,1.0
1.5,1.0
0.5,0.5
1.0,-1.0
-0.5,-0.5
3.0,1.5
0.0,0.5
1.5,0.0
0.0,0.0
1.5,0.5
0.0,0.5
2.5,0.5
0.5,0.5
4.0,6.0
1.5,2.5
3.5,3.0
0.0,2.0
2.0,1.0
0.5,0.5
-0.5,-2.0
-1.0,0.0
1.0,0.0
2.0,1.5
0.5,-1.5
-0.5,0.5
3.5,2.5
1.0,1.0
-0.5,-2.5
-0.5,1.0
2.0,1.5
0.5,0.5
1.5,-0.5
1.5,2.0
3.0,2.0
0.5,2.0
11.5,9.0
0.0,1.5
2.5,5.0
3.0,3.0
18.5,17.0
14.0,13.0
0.5,-1.0
-1.0,1.0
1.5,1.0
1.5,2.0
3.0,1.0
-0.5,0.0
2.0,1.0
1.0,1.0
0.0,-2.0
-0.5,26.5
34.0,33.0
3.5,4.5
0.0,1.0
2.0,3.0
-0.5,0.5
1.5,0.5
0.5,0.5
2.0,0.0
-0.5,0.5
4.0,4.5
1.5,3.5
1.0,1.0
-0.5,1.5
2.0,6.5
5.5,6.5
21.0,19.0
-1.0,-0.5
2.0,1.0
0.5,1.0
2.0,1.5
0.5,1.0
3.5,1.0
-1.0,0.0
1.5,0.0
0.5,1.0
2.0,0.5
0.5,2.0
2.0,0.0
-0.5,0.0
1.0,0.5
2.0,1.5
0.0,-1.5
0.0,2.0
3.0,2.5
1.5,1.0
3.0,0.5
-1.0,-0.5
1.5,1.5
0.5,0.5
0.5,-1.0
-1.0,0.0
1.0,4.5
15.5,15.0
4.0,1.5
-1.0,0.5
0.5,1.0
-1.0,0.0
5.5,4.5
3.5,4.0
0.0,0.5
-1.0,0.5
