S.ANTONIO MANTOVANO,ROVERBELLA
1.0,3.5
0.5,0.0
0.0,-1.0
0.5,-0.5
0.0,-1.0
0.0,-1.0
0.5,0.0
0.0,-1.0
4.0,4.0
2.5,1.5
2.0,1.5
0.0,-0.5
3.5,2.5
5.0,5.5
6.0,5.5
0.5,4.5
3.0,3.0
7.0,6.5
5.0,6.0
5.0,5.0
11.0,11.0
1.5,0.0
13.5,12.0
0.5,-0.5
4.0,3.0
6.0,10.5
0.0,-0.5
0.5,0.0
8.5,8.0
1.5,1.5
25.0,24.5
-0.5,-1.0
0.5,1.0
0.0,-0.5
4.5,3.0
19.5,19.5
1.0,0.5
0.5,-0.5
0.0,0.0
6.0,7.5
29.0,28.5
3.0,2.5
1.5,2.0
1.5,2.5
1.5,1.0
1.0,6.5
2.5,2.0
2.0,2.0
0.5,4.0
0.5,0.0
0.0,2.5
3.5,4.0
6.5,5.0
1.0,0.5
2.5,2.0
1.5,1.0
2.0,2.5
