PONTELAGOSCURO,OCCHIOBELLO
2.0,1.5
1.5,2.5
2.5,2.5
15.0,15.0
1.0,1.0
1.0,0.5
1.5,0.5
1.0,1.0
14.5,15.0
11.5,12.5
4.5,5.0
21.5,23.0
5.5,4.5
4.0,4.5
12.0,12.0
9.5,10.5
3.0,2.5
18.0,18.5
1.5,1.0
8.0,8.5
2.5,2.5
6.0,7.0
1.5,1.0
8.5,8.0
6.0,7.0
5.0,5.0
2.0,2.0
1.0,0.5
0.0,-0.5
8.0,10.0
2.0,2.0
3.0,4.0
4.5,5.0
6.5,6.5
3.0,2.5
3.0,3.5
3.5,4.0
3.0,3.5
4.0,4.0
17.5,18.5
0.0,-0.5
4.5,5.0
5.0,6.0
9.0,9.0
3.0,3.5
10.5,12.5
-0.5,-0.5
4.5,5.5
8.5,8.5
5.5,6.5
8.5,10.0
18.5,19.5
2.5,2.0
11.5,13.0
8.5,9.5
7.5,9.5
4.0,4.0
14.0,13.5
9.5,9.5
7.0,9.0
4.0,4.0
26.0,27.5
4.0,4.0
0.0,0.5
2.5,2.5
6.0,5.0
5.0,4.5
24.0,25.0
20.5,21.5
1.0,2.5
1.0,1.0
-0.5,1.5
7.0,8.0
1.0,1.0
3.5,4.5
4.5,5.0
13.5,13.0
2.0,1.5
7.5,8.5
26.0,26.0
1.5,3.5
30.0,31.0
11.5,13.0
9.0,9.0
9.0,10.5
3.0,2.5
6.0,7.0
4.5,5.5
3.0,5.0
32.0,32.5
15.0,15.5
2.5,3.0
7.0,7.5
2.0,2.0
4.5,7.0
1.5,1.5
3.0,3.0
4.0,4.5
17.5,18.5
7.0,7.0
3.0,4.0
46.0,45.0
10.5,11.5
14.5,16.0
0.5,2.0
6.0,6.5
2.5,8.0
12.0,12.0
2.5,3.5
5.0,7.0
1.5,1.5
0.0,6.0
2.5,3.0
3.0,3.5
1.5,1.0
6.5,8.0
7.0,7.5
10.0,11.0
6.0,5.5
5.0,7.0
3.5,2.5
5.5,6.0
5.0,5.0
0.5,1.0
2.5,2.0
16.5,17.0
43.0,44.5
4.0,3.0
25.5,27.0
0.5,0.0
4.5,5.5
2.0,2.0
1.0,0.5
4.5,5.0
2.0,3.0
3.0,2.5
8.0,8.5
7.0,7.0
21.5,22.0
13.0,13.0
9.0,11.0
9.0,9.5
4.5,6.0
3.5,3.5
16.0,16.5
2.0,1.0
9.0,9.0
1.0,2.0
20.5,22.5
2.5,2.5
6.5,7.0
1.5,1.0
11.5,12.5
2.0,2.5
7.5,8.0
5.5,5.5
4.5,4.0
6.5,15.0
5.5,6.5
3.0,2.0
12.5,13.0
62.0,63.0
36.5,38.5
3.0,2.0
6.5,7.0
3.0,2.5
10.0,11.5
8.5,9.5
22.0,21.5
1.5,1.0
7.0,8.0
2.0,2.0
13.5,14.0
4.5,4.5
8.0,8.0
2.0,1.5
3.5,4.5
1.5,1.0
4.5,4.5
2.0,2.0
9.0,9.0
2.0,3.5
83.5,84.0
67.5,67.0
2.5,2.5
3.0,4.0
2.5,3.0
2.5,2.5
2.0,2.5
3.0,3.5
11.5,11.5
1.5,2.0
3.5,3.0
0.5,1.0
2.0,1.5
17.0,17.5
7.5,7.0
1.5,2.0
1.0,0.0
20.5,20.5
28.5,27.5
6.5,7.0
2.0,2.0
10.5,10.5
3.0,3.5
8.5,9.5
3.5,3.0
6.0,6.5
4.5,5.0
11.5,14.0
3.0,2.0
3.0,4.0
2.5,3.0
0.0,0.5
2.0,1.5
11.5,12.0
1.0,1.0
7.5,8.5
3.0,2.5
17.5,18.0
2.0,3.0
15.5,16.5
5.0,5.0
18.0,20.0
1.5,1.0
0.5,0.5
5.5,5.5
10.0,11.0
3.0,4.0
3.0,2.5
5.5,5.5
16.0,17.5
6.0,5.5
8.5,8.5
5.5,5.0
5.5,6.0
2.5,2.0
7.0,7.0
2.5,14.0
9.5,8.5
9.0,10.0
6.5,7.5
1.0,0.5
5.0,6.0
3.5,4.0
5.0,7.0
1.0,1.0
4.0,5.5
2.0,1.5
1.0,1.0
5.0,5.5
5.5,6.0
5.0,6.5
6.0,6.5
1.0,2.0
2.0,2.5
8.0,8.0
8.5,9.5
11.0,11.0
2.5,2.5
2.5,3.0
4.0,4.0
2.5,3.5
1.5,1.0
1.0,2.0
10.0,9.5
7.5,9.0
6.0,6.0
0.5,1.5
3.0,3.0
10.0,9.5
2.5,1.5
3.5,4.0
2.0,2.5
7.5,8.5
5.0,5.0
4.5,11.0
4.0,3.5
5.0,5.5
5.0,5.0
22.5,22.5
9.5,11.0
7.5,7.5
9.5,10.0
0.0,0.0
5.0,6.0
7.5,8.0
4.0,5.0
