RIMINI,PESARO
13.0,12.5
-2.5,-0.5
5.5,5.5
-1.0,6.0
-5.0,-1.0
-4.5,-1.5
-5.0,-0.5
-4.0,-0.5
16.0,17.0
1.0,4.0
4.5,4.0
5.0,4.5
8.5,10.5
7.0,9.0
4.5,3.0
2.0,2.0
-6.0,1.0
-4.0,2.5
17.5,17.5
-7.0,-0.5
20.5,19.5
-6.5,-0.5
22.0,23.5
14.0,13.5
-2.5,0.5
10.5,12.5
5.5,5.0
-2.0,0.5
7.5,7.0
13.5,13.0
4.0,3.5
4.5,5.0
11.5,12.5
0.0,6.0
0.5,1.5
15.0,18.5
0.5,-0.5
25.0,33.0
4.0,7.0
0.0,0.0
8.0,9.0
5.5,7.5
2.0,3.0
-5.0,1.5
0.0,4.0
0.0,-2.0
-0.5,-0.5
6.0,9.0
1.0,-0.5
1.5,2.5
21.5,22.5
13.0,13.0
17.0,17.5
8.0,10.0
-4.0,0.5
26.5,28.0
-2.5,-1.5
-3.5,2.0
-2.0,-0.5
0.0,2.0
-5.0,-1.5
-3.5,-0.5
-0.5,0.0
34.5,34.5
-2.0,0.5
-2.0,0.0
7.5,7.5
0.0,0.5
2.5,0.5
1.5,-0.5
5.0,5.0
25.0,27.5
-1.0,-1.5
-3.5,1.0
-2.0,0.5
-2.0,-0.5
5.0,5.5
7.5,9.0
2.0,1.5
1.5,0.0
6.0,12.0
9.0,9.0
12.0,12.5
3.0,4.5
2.0,3.0
1.0,0.0
4.5,4.0
-6.0,1.0
2.0,2.5
-4.5,-0.5
-1.5,0.0
-6.0,-1.0
3.5,6.5
29.0,32.5
18.0,17.5
-4.0,3.5
-2.5,2.5
8.5,9.5
-2.0,0.5
-3.5,1.0
8.5,9.5
5.5,7.5
-4.0,-0.5
-1.5,0.0
5.5,4.0
2.0,1.5
13.0,13.0
1.5,4.0
2.0,0.5
8.0,6.0
4.0,3.5
-3.0,1.5
-3.0,0.0
-1.5,3.0
-5.0,0.0
1.0,0.5
1.0,2.0
18.0,15.5
-2.5,-1.0
-2.5,1.5
-3.0,-1.5
1.0,-1.5
5.0,17.0
7.5,7.0
11.5,12.0
16.0,18.0
1.0,0.0
3.0,1.0
5.5,5.5
3.5,4.0
-0.5,-0.5
7.5,10.5
1.5,0.0
5.5,4.0
8.5,9.0
5.5,5.0
12.5,13.5
15.0,16.0
-0.5,-1.0
2.0,1.5
3.5,6.5
6.0,7.5
21.0,21.0
5.0,4.5
1.5,1.5
15.5,44.0
-7.5,-0.5
-4.5,1.5
-6.0,-0.5
8.0,8.5
-7.0,-1.0
-5.5,0.5
11.0,10.5
-1.0,-1.0
29.5,29.0
7.0,8.0
7.0,6.5
-2.5,-1.0
1.0,1.0
-1.0,-0.5
6.5,6.0
-1.0,-0.5
3.5,4.5
1.5,3.0
26.0,27.5
-0.5,1.0
23.0,24.0
6.0,7.0
3.5,3.5
9.5,9.5
-4.0,-0.5
15.5,18.0
-6.0,-0.5
24.0,27.5
2.5,3.0
21.5,21.0
-1.5,-1.5
1.0,3.5
-3.0,-2.5
0.5,-1.5
16.0,15.0
1.0,8.5
-3.0,-3.0
0.0,-2.5
97.0,97.5
45.5,44.5
33.0,32.5
63.0,65.0
6.0,4.5
13.0,11.0
23.5,22.0
17.5,22.5
3.0,3.5
22.5,27.5
18.0,17.5
3.0,1.0
8.5,7.0
0.5,2.0
6.0,8.0
0.5,3.0
-0.5,-1.0
1.5,5.5
5.5,4.5
4.0,4.0
15.0,16.5
9.5,12.0
2.0,0.5
5.0,4.5
-4.5,0.0
-1.5,0.0
-1.5,1.0
-1.0,1.5
-5.0,1.0
3.0,3.0
7.5,6.5
1.5,-0.5
20.5,21.0
6.5,8.5
-3.5,-1.5
6.0,4.0
-2.5,0.5
9.0,9.5
17.0,17.5
3.5,4.0
4.0,4.0
-0.5,1.5
39.0,39.0
-1.0,-1.5
18.5,18.0
26.0,30.0
-4.5,1.0
1.5,0.5
-1.5,9.5
-4.5,-1.0
-5.0,4.0
-6.5,0.0
0.0,2.5
-4.5,-0.5
-4.0,-1.0
9.0,9.0
-7.0,-1.0
-2.0,1.0
14.5,14.0
43.0,44.0
14.0,17.0
4.0,3.5
4.0,3.5
6.5,6.0
-6.0,2.0
11.0,11.5
-6.0,0.5
9.5,12.5
-6.0,-0.5
5.5,10.0
-0.5,0.0
-1.5,0.5
-1.0,0.0
-3.0,-0.5
-2.0,-1.5
4.0,4.5
2.5,2.5
28.5,28.5
8.0,8.5
11.0,11.5
0.5,2.5
5.5,7.0
-1.5,-0.5
-0.5,2.0
8.0,9.5
7.5,9.0
-2.0,-1.5
0.5,1.0
-0.5,-1.0
-3.5,-2.0
-3.0,-0.5
11.0,11.5
11.0,9.5
-2.5,-2.0
-0.5,0.5
-3.0,-1.5
-1.5,-1.0
8.0,10.0
-3.0,-1.5
1.5,2.0
5.0,5.5
2.0,2.5
6.0,8.0
6.0,8.5
11.5,9.0
5.0,4.5
5.0,7.5
4.0,6.0
4.5,6.5
15.5,17.5
-4.0,1.5
1.0,4.5
4.5,9.5
8.5,10.5
6.5,8.0
2.5,5.0
4.5,6.0
-1.5,1.0
0.0,1.5
4.5,5.0
6.5,6.0
6.0,10.5
2.5,2.0
2.5,2.0
40.0,41.0
142.0,143.5
7.0,9.5
29.5,31.5
23.5,24.5
50.0,75.0
7.5,7.5
-1.5,1.0
5.5,8.5
23.5,26.0
-2.0,0.0
16.5,19.5
-3.0,-1.0
-5.0,0.0
12.0,13.0
10.0,10.0
-4.5,-1.0
16.0,17.5
5.5,4.5
-2.5,-1.0
-1.5,3.0
4.5,6.5
-1.5,-1.5
-4.5,-3.0
4.0,4.0
11.0,11.0
0.5,0.0
1.0,2.5
1.0,-0.5
1.5,1.5
4.5,4.0
5.0,4.0
19.5,19.5
10.0,12.5
-1.0,-0.5
1.0,0.5
4.5,6.5
3.0,2.0
7.5,9.5
0.0,-0.5
-2.0,3.0
1.0,1.0
23.5,23.0
-2.0,-1.5
14.5,15.0
-0.5,2.0
4.0,2.5
1.0,-0.5
-2.0,-1.5
-3.0,-2.0
2.0,2.0
7.5,8.5
-0.5,-2.0
-1.0,-1.0
-1.5,6.0
10.0,11.0
3.0,4.5
22.5,25.0
-1.0,-1.0
0.0,-0.5
17.0,18.5
-4.5,0.5
-9.0,-0.5
8.5,10.0
-6.5,0.0
5.5,5.5
3.0,11.0
1.5,1.0
32.5,35.0
10.0,10.0
1.0,2.0
37.5,37.0
5.5,6.5
-0.5,4.0
11.5,10.0
-4.0,0.5
-0.5,0.0
8.5,8.5
-1.5,-1.0
0.0,0.5
-1.0,1.0
6.5,7.5
-2.0,-0.5
5.0,5.5
6.5,6.0
0.0,-0.5
15.0,15.0
23.5,25.5
-1.0,0.0
23.0,27.5
-6.5,0.5
0.5,2.0
-4.5,4.5
2.0,3.5
1.5,1.5
-5.0,0.0
57.0,56.5
12.5,15.0
8.5,9.0
62.5,65.0
2.5,2.0
1.5,3.5
16.5,17.0
-2.0,0.0
21.0,22.0
9.0,9.0
9.0,9.0
14.5,14.0
-3.0,0.0
-3.5,0.0
-6.0,7.5
-4.0,-1.0
-6.0,3.0
-6.0,0.5
-0.5,-0.5
25.5,29.0
-4.5,1.0
1.0,2.5
20.0,18.0
4.0,2.5
5.5,5.0
4.5,6.5
2.0,1.0
14.5,13.5
6.5,9.0
8.0,9.5
0.0,1.5
26.5,29.5
5.0,6.5
8.5,11.0
7.5,12.5
0.0,0.0
-0.5,0.0
2.0,3.5
-2.5,-0.5
-0.5,-0.5
26.0,29.0
44.0,50.5
92.5,102.0
76.5,81.0
58.5,63.0
15.5,21.5
-7.5,1.5
-7.0,-1.0
-1.0,-0.5
11.0,11.0
-4.5,-0.5
5.5,6.0
0.5,1.0
3.0,2.5
7.0,5.0
9.5,11.5
8.5,7.5
0.5,0.0
-5.5,0.0
-8.0,0.0
-4.0,2.0
-4.0,0.0
-4.5,-1.0
-4.0,-0.5
7.5,10.5
23.0,22.5
-1.5,-1.0
-1.0,1.5
-3.0,-2.5
54.0,55.0
-1.5,-2.5
1.0,-0.5
-2.5,-1.0
-1.5,1.5
-2.0,-2.0
-2.0,-1.0
-2.0,-0.5
